State,District,Crop,Season,Season_Order,Crop_Year,Start_Year,End_Year,Season_Start_Month,Season_End_Month,Season_Months,Season_Start_Year,Season_End_Year,Season_Crosses_Calendar_Year,Area_Ha,Production_Tonnes,Yield_Ton_per_Ha,Production_YoY_Change_Pct,Yield_YoY_Change_Pct,Area_YoY_Change_Pct,Production_3Y_Mean,Yield_3Y_Mean,Production_Deviation_From_3Y_Mean,Yield_Deviation_From_3Y_Mean
Andaman and Nicobar Islands,Nicobars,Arecanut,Rabi,3,2018-19,2018,2019,10,3,"10,11,12,1,2,3",2018,2019,1,558.0,84.6,0.15,,,,,,,
Andaman and Nicobar Islands,Nicobars,Arecanut,Rabi,3,2019-20,2019,2020,10,3,"10,11,12,1,2,3",2019,2020,1,612.5,175.4,0.29,107.328605,93.333333,9.767025,84.6,0.15,90.8,0.14
Andaman and Nicobar Islands,Nicobars,Arecanut,Rabi,3,2020-21,2020,2021,10,3,"10,11,12,1,2,3",2020,2021,1,221.5,72.8,0.33,-58.494869,13.793103,-63.836735,130.0,0.22,-57.2,0.11
Andaman and Nicobar Islands,Nicobars,Arecanut,Rabi,3,2021-22,2021,2022,10,3,"10,11,12,1,2,3",2021,2022,1,206.5,95.6,0.46,31.318681,39.393939,-6.772009,110.933333,0.256667,-15.333333,0.203333
Andaman and Nicobar Islands,Nicobars,Arecanut,Rabi,3,2022-23,2022,2023,10,3,"10,11,12,1,2,3",2022,2023,1,200.5,64.5,0.32,-32.531381,-30.434783,-2.905569,114.6,0.36,-50.1,-0.04
Andaman and Nicobar Islands,Nicobars,Black pepper,Rabi,3,2018-19,2018,2019,10,3,"10,11,12,1,2,3",2018,2019,1,10.41,0.02,0.0,,,,,,,
Andaman and Nicobar Islands,Nicobars,Black pepper,Rabi,3,2019-20,2019,2020,10,3,"10,11,12,1,2,3",2019,2020,1,12.4,0.71,0.06,3450.0,,19.116234,0.02,0.0,0.69,0.06
Andaman and Nicobar Islands,Nicobars,Black pepper,Rabi,3,2020-21,2020,2021,10,3,"10,11,12,1,2,3",2020,2021,1,10.4,0.088,0.01,-87.605634,-83.333333,-16.129032,0.365,0.03,-0.277,-0.02
Andaman and Nicobar Islands,Nicobars,Black pepper,Rabi,3,2021-22,2021,2022,10,3,"10,11,12,1,2,3",2021,2022,1,2.4,0.059,0.02,-32.954545,100.0,-76.923077,0.272667,0.023333,-0.213667,-0.003333
Andaman and Nicobar Islands,Nicobars,Black pepper,Rabi,3,2022-23,2022,2023,10,3,"10,11,12,1,2,3",2022,2023,1,1.63,0.054,0.03,-8.474576,50.0,-32.083333,0.285667,0.03,-0.231667,0.0
Andaman and Nicobar Islands,Nicobars,Cashewnut,Rabi,3,2018-19,2018,2019,10,3,"10,11,12,1,2,3",2018,2019,1,19.0,15.0,0.79,,,,,,,
